[2025-12-02 10:17:45.340] 成功載入 CmdCode JSON 文件: Data\CmdCode.json 與 Data\CmdCodeReverse.json
[2025-12-02 10:17:49.025] [PollingRead][savePartAsSubSys] New Port created : CAN1
[2025-12-02 10:17:49.026] [PollingRead][savePartAsSubSys] New SubSystem created for (port, protocol) = (CAN1, NTN-5K_CAN.json)
[2025-12-02 10:17:49.112] [PollingRead][savePartAsSubSys] New Port created : CAN2
[2025-12-02 10:17:49.113] [PollingRead][FireAndForgetTask] oneSubSys_FireAndForgetLock is being used (port, protocol) = (CAN1, NTN-5K_CAN.json)
[2025-12-02 10:17:49.113] [PollingRead][savePartAsSubSys] New SubSystem created for (port, protocol) = (CAN2, NTN-5K_CAN.json)
[2025-12-02 10:17:49.115] [PollingRead][savePartAsSubSys] New Port created : MOD1
[2025-12-02 10:17:49.117] [PollingRead][savePartAsSubSys] New SubSystem created for (port, protocol) = (MOD1, NTN-5K_MOD.json)
[2025-12-02 10:17:49.120] [PollingRead][savePartAsSubSys] New Port created : MOD2
[2025-12-02 10:17:49.122] [PollingRead][savePartAsSubSys] New SubSystem created for (port, protocol) = (MOD2, NTN-5K_MOD.json)
[2025-12-02 10:17:49.134] [SubSystem][UpdateSettingRanges_From] Start for (port, protocol) = (CAN2, NTN-5K_CAN.json)
[2025-12-02 10:17:49.134] [SubSystem][UpdateSettingRanges_From] Start for (port, protocol) = (CAN1, NTN-5K_CAN.json)
[2025-12-02 10:17:49.134] [SubSystem][UpdateSettingRanges_From] Start for (port, protocol) = (MOD1, NTN-5K_MOD.json)
[2025-12-02 10:17:49.135] [SubSystem][UpdateSettingRanges_From] Start for (port, protocol) = (MOD2, NTN-5K_MOD.json)
[2025-12-02 10:17:49.138] [SubSystem][UpdateSettingRanges_From] done for (port, protocol) = (CAN2, NTN-5K_CAN.json)
[2025-12-02 10:17:49.139] [SubSystem][UpdateSettingRanges_From] done for (port, protocol) = (CAN1, NTN-5K_CAN.json)
[2025-12-02 10:17:49.141] [SubSystem][UpdateSettingRanges_From] done for (port, protocol) = (MOD1, NTN-5K_MOD.json)
[2025-12-02 10:17:49.142] [SubSystem][UpdateSettingRanges_From] done for (port, protocol) = (MOD2, NTN-5K_MOD.json)
[2025-12-02 10:17:49.163] [SubSystem][UpdateInfosForWriteCmd_From] Start for (port, protocol) = (CAN2, NTN-5K_CAN.json)
[2025-12-02 10:17:49.162] [SubSystem][UpdateInfosForWriteCmd_From] Start for (port, protocol) = (MOD2, NTN-5K_MOD.json)
[2025-12-02 10:17:49.162] [SubSystem][UpdateInfosForWriteCmd_From] Start for (port, protocol) = (CAN1, NTN-5K_CAN.json)
[2025-12-02 10:17:49.163] [SubSystem][UpdateInfosForWriteCmd_From] Start for (port, protocol) = (MOD1, NTN-5K_MOD.json)
[2025-12-02 10:17:49.163] [SubSystem][UpdateInfosForWriteCmd_From] Add new Write CMD Info for CmdCode 00B0
[2025-12-02 10:17:49.164] [SubSystem][UpdateInfosForWriteCmd_From] Add new Write CMD Info for CmdCode 00B0
[2025-12-02 10:17:49.166] [SubSystem][UpdateInfosForWriteCmd_From] Add new Write CMD Info for CmdCode 00B0
[2025-12-02 10:17:49.167] [SubSystem][UpdateInfosForWriteCmd_From] Add new Write CMD Info for CmdCode 00B0
[2025-12-02 10:17:49.168] [SubSystem][UpdateInfosForWriteCmd_From] Add new Write CMD Info for CmdCode 00B1
[2025-12-02 10:17:49.170] [SubSystem][UpdateInfosForWriteCmd_From] Add new Write CMD Info for CmdCode 00B1
[2025-12-02 10:17:49.171] [SubSystem][UpdateInfosForWriteCmd_From] Add new Write CMD Info for CmdCode 00B1
[2025-12-02 10:17:49.172] [SubSystem][UpdateInfosForWriteCmd_From] Add new Write CMD Info for CmdCode 00B1
[2025-12-02 10:17:49.173] [SubSystem][UpdateInfosForWriteCmd_From] Add new Write CMD Info for CmdCode 00B2
[2025-12-02 10:17:49.173] [SubSystem][UpdateInfosForWriteCmd_From] Add new Write CMD Info for CmdCode 00B2
[2025-12-02 10:17:49.174] [SubSystem][UpdateInfosForWriteCmd_From] Add new Write CMD Info for CmdCode 00B2
[2025-12-02 10:17:49.176] [SubSystem][UpdateInfosForWriteCmd_From] Add new Write CMD Info for CmdCode 00B2
[2025-12-02 10:17:49.177] [SubSystem][UpdateInfosForWriteCmd_From] Add new Write CMD Info for CmdCode 00B3
[2025-12-02 10:17:49.178] [SubSystem][UpdateInfosForWriteCmd_From] Add new Write CMD Info for CmdCode 00B3
[2025-12-02 10:17:49.179] [SubSystem][UpdateInfosForWriteCmd_From] Add new Write CMD Info for CmdCode 00B3
[2025-12-02 10:17:49.180] [SubSystem][UpdateInfosForWriteCmd_From] Add new Write CMD Info for CmdCode 00B3
[2025-12-02 10:17:49.181] [SubSystem][UpdateInfosForWriteCmd_From] Add new Write CMD Info for CmdCode 00B4
[2025-12-02 10:17:49.183] [SubSystem][UpdateInfosForWriteCmd_From] Add new Write CMD Info for CmdCode 00B4
[2025-12-02 10:17:49.184] [SubSystem][UpdateInfosForWriteCmd_From] Add new Write CMD Info for CmdCode 00B4
[2025-12-02 10:17:49.185] [SubSystem][UpdateInfosForWriteCmd_From] Add new Write CMD Info for CmdCode 00B4
[2025-12-02 10:17:49.187] [SubSystem][UpdateInfosForWriteCmd_From] Add new Write CMD Info for CmdCode 00B5
[2025-12-02 10:17:49.188] [SubSystem][UpdateInfosForWriteCmd_From] Add new Write CMD Info for CmdCode 00B5
[2025-12-02 10:17:49.189] [SubSystem][UpdateInfosForWriteCmd_From] Add new Write CMD Info for CmdCode 00B5
